                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.956,                 4.1748,                 1.6679,                0.00288,                0.86395,                0.09961,                0.03207,                 1.7389,                  4.097,                    1.5,                 0.0712,                 0.0032,                 0.0032
                      1,                 1.7569,                 2.8356,                 1.4036,                0.89366,                0.02041,                 0.2896,                0.11729,                  1.748,                 3.4215,                 1.4136,               0.039355,               0.004355,               0.004355
                      2,                 1.6957,                 2.2601,                 1.3491,                0.50841,                0.18996,                0.33418,                0.14807,                 1.8316,                 3.0573,                 1.4366,               0.005332,               0.003332,               0.003332
