                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.0834,                 1.6808,                 1.6462,                      0,                      0,                      0,                      0,                 4.2495,                 5.5582,                 3.2665,                0.09208,                  8e-05,                  8e-05
                      1,                 1.5957,                 1.1583,                 1.3102,                      0,                      0,                      0,                      0,                 3.6325,                 6.0363,                 2.8869,               0.083167,             0.00016663,             0.00016663
                      2,                 1.5954,                 1.0776,                   1.32,                0.85714,                0.04082,                0.44963,                0.17171,                 3.3639,                 6.0594,                 2.6731,                0.07425,              0.0002497,              0.0002497
                      3,                 1.4771,                0.98498,                 1.2672,                0.77273,                0.11565,                0.44463,                0.16316,                 3.2052,                 5.9352,                  2.537,               0.065329,             0.00032921,             0.00032921
                      4,                  1.517,                0.96958,                 1.2732,                0.34091,                0.20408,                0.29316,                0.12887,                 2.7418,                  5.308,                 2.1192,               0.056405,             0.00040515,             0.00040515
                      5,                 1.4336,                 0.9518,                 1.2023,                0.35379,                0.66667,                0.54337,                0.23835,                 2.2333,                 3.0583,                  1.648,               0.047478,             0.00047753,             0.00047753
                      6,                 1.4099,                0.96631,                 1.2185,                0.78595,                0.63265,                0.70927,                0.33959,                 1.8791,                 1.6676,                 1.4306,               0.038546,             0.00054634,             0.00054634
                      7,                 1.5285,                0.97435,                 1.2917,                0.75076,                0.65306,                0.70726,                0.32235,                 1.8254,                  1.517,                 1.3752,               0.029612,             0.00061159,             0.00061159
                      8,                 1.3918,                0.93341,                 1.2225,                0.73227,                0.76284,                0.76877,                0.37095,                 1.7391,                 1.1113,                 1.3451,               0.020673,             0.00067328,             0.00067328
                      9,                 1.4174,                0.90605,                 1.2224,                0.82219,                0.80272,                0.87391,                0.46533,                 1.6264,                 1.0576,                 1.2602,               0.011731,              0.0007314,              0.0007314
                     10,                 1.5003,                0.98089,                 1.2514,                0.79992,                 0.7551,                0.86417,                0.43532,                 1.5208,                0.99452,                 1.2589,               0.002786,             0.00078596,             0.00078596
                     11,                 1.3965,                0.95687,                 1.2168,                 0.7954,                0.84631,                0.89113,                0.47884,                  1.614,                0.94393,                 1.2739,              0.0007822,              0.0007822,              0.0007822
                     12,                 1.3878,                0.88737,                 1.1888,                0.77209,                0.85034,                0.86232,                 0.4542,                 1.5756,                0.96984,                 1.2452,              0.0007822,              0.0007822,              0.0007822
                     13,                 1.3713,                0.88885,                 1.2004,                 0.8255,                 0.7483,                0.86401,                0.47906,                 1.5616,                0.92938,                 1.2387,              0.0007624,              0.0007624,              0.0007624
                     14,                 1.3962,                0.88557,                 1.1852,                0.80509,                0.81488,                0.87141,                0.49387,                 1.5044,                0.89937,                 1.2476,              0.0007426,              0.0007426,              0.0007426
                     15,                 1.3958,                0.90084,                  1.231,                0.77833,                0.85989,                0.87407,                0.48898,                 1.5053,                0.88271,                 1.2265,              0.0007228,              0.0007228,              0.0007228
