                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     16,                 1.3879,                0.87826,                 1.1842,                0.83987,                0.84354,                0.86566,                0.49453,                 1.5501,                0.89711,                 1.2207,               0.000703,               0.000703,               0.000703
                     17,                 1.4128,                 0.8404,                    1.2,                0.84948,                0.88304,                0.89926,                0.50746,                 1.5335,                0.84361,                 1.2556,              0.0006832,              0.0006832,              0.0006832
                     18,                 1.3214,                0.83049,                 1.1649,                0.81183,                0.88051,                0.87358,                0.49143,                 1.5274,                0.87595,                 1.2692,              0.0006634,              0.0006634,              0.0006634
                     19,                 1.4084,                0.86851,                  1.188,                0.82735,                0.80272,                0.88236,                 0.4923,                 1.5316,                0.91312,                 1.2497,              0.0006436,              0.0006436,              0.0006436
                     20,                 1.4421,                0.89828,                 1.2153,                0.83859,                0.88359,                0.90637,                0.52261,                  1.492,                0.88496,                 1.2405,              0.0006238,              0.0006238,              0.0006238
                     21,                 1.3256,                0.82922,                 1.1553,                0.82219,                0.87755,                0.89141,                0.49969,                 1.5642,                0.87595,                 1.2512,               0.000604,               0.000604,               0.000604
                     22,                 1.2984,                0.80505,                 1.1472,                 0.8442,                0.91156,                0.91904,                0.51966,                 1.5032,                0.82547,                 1.2464,              0.0005842,              0.0005842,              0.0005842
                     23,                 1.3341,                0.76892,                 1.1727,                0.85469,                 0.8803,                0.91962,                0.52906,                 1.5219,                 0.8155,                 1.2542,              0.0005644,              0.0005644,              0.0005644
                     24,                   1.34,                0.76971,                 1.1656,                0.82552,                0.85714,                0.89578,                0.50933,                 1.4956,                0.83426,                 1.2572,              0.0005446,              0.0005446,              0.0005446
                     25,                 1.3444,                0.78105,                 1.1768,                0.92113,                0.90476,                0.95029,                 0.5373,                 1.4325,                 0.7964,                 1.2079,              0.0005248,              0.0005248,              0.0005248
                     26,                 1.3076,                0.76552,                 1.1495,                0.88655,                0.85054,                0.91823,                 0.5187,                 1.4959,                0.81885,                 1.2293,               0.000505,               0.000505,               0.000505
                     27,                 1.2835,                0.83534,                  1.167,                0.85745,                0.84354,                0.91958,                0.49815,                 1.4607,                0.80112,                 1.2269,              0.0004852,              0.0004852,              0.0004852
                     28,                 1.3442,                0.78879,                 1.1669,                0.85632,                0.89196,                0.93297,                0.52548,                 1.4558,                0.78049,                 1.2311,              0.0004654,              0.0004654,              0.0004654
                     29,                   1.33,                0.76712,                 1.1352,                 0.8911,                0.89068,                0.92701,                0.53746,                 1.4524,                0.77135,                  1.234,              0.0004456,              0.0004456,              0.0004456
                     30,                 1.3053,                0.74876,                 1.1233,                0.87042,                0.91389,                0.93555,                0.55822,                 1.4249,                0.77574,                 1.2074,              0.0004258,              0.0004258,              0.0004258
                     31,                 1.2898,                0.74387,                 1.1106,                0.88865,                0.89116,                0.91599,                0.53045,                 1.4321,                0.75655,                 1.2289,               0.000406,               0.000406,               0.000406
                     32,                 1.2221,                0.71373,                 1.1202,                0.88324,                0.90476,                0.92068,                0.53757,                 1.4563,                0.75384,                 1.2452,              0.0003862,              0.0003862,              0.0003862
                     33,                 1.2714,                 0.7142,                  1.133,                0.84087,                0.91837,                0.92352,                0.53869,                 1.4376,                0.77512,                 1.2254,              0.0003664,              0.0003664,              0.0003664
                     34,                 1.2551,                0.76646,                   1.13,                0.85307,                0.89116,                0.92175,                0.54249,                 1.4857,                0.75101,                 1.2488,              0.0003466,              0.0003466,              0.0003466
                     35,                 1.2403,                0.73277,                 1.1131,                0.85683,                0.89116,                0.92662,                0.53619,                 1.4672,                0.76056,                 1.2577,              0.0003268,              0.0003268,              0.0003268
                     36,                 1.2485,                0.74368,                 1.1285,                0.88631,                0.90476,                 0.9382,                0.54802,                 1.4259,                 0.7372,                 1.2316,               0.000307,               0.000307,               0.000307
                     37,                 1.1453,                0.69812,                 1.1006,                0.90723,                0.91837,                0.95761,                0.54304,                 1.4062,                0.71872,                 1.2203,              0.0002872,              0.0002872,              0.0002872
                     38,                 1.1941,                0.67686,                 1.1013,                0.91526,                0.89116,                0.94657,                0.54872,                 1.4569,                0.70649,                 1.2433,              0.0002674,              0.0002674,              0.0002674
                     39,                 1.2638,                0.75328,                 1.1308,                0.88072,                0.93197,                0.93578,                0.54654,                 1.4661,                0.71324,                 1.2389,              0.0002476,              0.0002476,              0.0002476
                     40,                  1.173,                0.70166,                 1.0997,                0.89799,                0.92517,                0.93653,                0.54757,                 1.4519,                0.70204,                 1.2371,              0.0002278,              0.0002278,              0.0002278
                     41,                 1.2086,                0.70319,                 1.0958,                0.89252,                0.90382,                0.93356,                0.54162,                 1.4821,                0.70932,                 1.2541,               0.000208,               0.000208,               0.000208
                     42,                 1.1034,                0.65759,                 1.0799,                0.88332,                0.90476,                0.92873,                0.53897,                 1.4374,                0.70413,                  1.239,              0.0001882,              0.0001882,              0.0001882
                     43,                 1.2363,                0.74782,                 1.0948,                0.90948,                0.90476,                0.94212,                0.54422,                 1.4344,                 0.6977,                 1.2314,              0.0001684,              0.0001684,              0.0001684
                     44,                 1.2653,                0.68682,                 1.1208,                 0.9184,                 0.9188,                0.95211,                 0.5482,                 1.4305,                0.69515,                 1.2187,              0.0001486,              0.0001486,              0.0001486
                     45,                 1.1751,                0.68144,                  1.071,                0.92181,                0.92517,                0.95389,                0.55195,                 1.4273,                0.69988,                  1.208,              0.0001288,              0.0001288,              0.0001288
                     46,                 1.1813,                0.68351,                 1.0766,                0.93122,                0.92105,                0.95575,                0.55125,                 1.4229,                0.71193,                 1.1997,               0.000109,               0.000109,               0.000109
                     47,                  1.195,                0.67445,                 1.0971,                0.91855,                0.90476,                 0.9445,                0.54844,                 1.4358,                0.70695,                 1.2122,               8.92e-05,               8.92e-05,               8.92e-05
                     48,                 1.1272,                0.64408,                  1.079,                0.90594,                0.91726,                0.93786,                0.55036,                 1.4398,                0.69852,                 1.2207,               6.94e-05,               6.94e-05,               6.94e-05
                     49,                 1.1541,                0.64692,                 1.0653,                0.89496,                0.92739,                0.94832,                0.55289,                 1.4512,                0.69878,                 1.2209,               4.96e-05,               4.96e-05,               4.96e-05
